	req_id	src	tgt_fr
0	0	 Regions and cities Australia has six states, two major mainland territories, and other minor territories	Régions et villes L'Australie compte six États, deux grands territoires continentaux et d'autres territoires mineurs
1	1	 I know he has power in both hands, but to catch Tim Bradley is going to be very hard	Je sais qu'il a du pouvoir dans ses deux mains, mais attraper Tim Bradley va être très difficile
12	2	 Head coach Jeremy Colliton said the changes are being made to make sure the youngster won’t burn out like many rookies do during their first season	L'entraîneur-chef Jeremy Colliton a déclaré que les changements sont apportés pour s'assurer que le jeune ne s'épuise pas comme le font de nombreuses recrues lors de leur première saison.
23	3	 Wade, stressing she wants to back a judge who would show respect for settled law such as the Roe decision	Wade, soulignant qu'elle souhaite soutenir un juge qui respecterait le droit établi, comme la décision Roe
34	4	 So I guess what I’m getting at is that this isn’t a super quality game, but it’s loads of fun and it’s good at what it does	Donc je suppose que ce que je veux dire, c'est que ce n'est pas un jeu de super qualité, mais il est très amusant et il est bon dans ce qu'il fait.
45	5	""" Lara Croft was the first major female video game protagonist"	""" Lara Croft a été la première héroïne majeure d'un jeu vidéo"
46	6	 Whether you're in need of emergency service, or you simply are looking to schedule regular maintenance for your Cesspool or Sewer System, give Help	Que vous ayez besoin d'un service d'urgence ou que vous cherchiez simplement à planifier un entretien régulier de votre puisard ou de votre système d'égouts, donnez de l'aide
47	7	 The students interested in the exam have applied for the exam through online	Les étudiants intéressés par l'examen ont postulé à l'examen en ligne
48	8	 These procedures reflect the approach adopted by leading airlines around the world and have been in place for some time	Ces procédures reflètent l’approche adoptée par les principales compagnies aériennes du monde entier et sont en place depuis un certain temps.
49	9	uk guarantee your PANASONIC CGR-B/202A1B battery chargers transaction will be 100% safe	UK garantit que votre transaction de chargeurs de batterie PANASONIC CGR-B/202A1B sera 100% sûre
2	10	 The bombing of Pan Am Flight 103 from London to New York resulted in 270 fatalities, including all 259 of the airplane's occupants and eleven individuals on the ground	L'attentat contre le vol Pan Am 103 reliant Londres à New York a fait 270 morts, dont les 259 occupants de l'avion et onze personnes au sol.
3	11	" They are starving us, now they are killing us,"" he said"	« Ils nous affament, maintenant ils nous tuent », a-t-il déclaré.
4	12	 Probably that's why I couldn't warm up to his cheesy character on the boss drama lol	C'est probablement pour ça que je n'ai pas pu m'habituer à son personnage ringard dans le drame du boss mdr
5	13	 Wikinews interviewed him regarding his values, his experience, and his campaign	Wikinews l'a interviewé sur ses valeurs, son expérience et sa campagne
6	14	The travellers took their places in the carriage , and again the monotony of the road , the steady trot of the horses , the sing-song words of encouragement of their driver , monopolised the thoughts of sleepy minds 	Les voyageurs prirent place dans la voiture, et de nouveau la monotonie de la route, le trot régulier des chevaux, les paroles chantantes d'encouragement de leur chauffeur, monopolisèrent les pensées des esprits endormis.
7	15	 At least 23 others were hospitalized, some with multiple internal injuries	Au moins 23 autres personnes ont été hospitalisées, certaines avec de multiples blessures internes.
8	16	 The couple wanted a simple and relaxing landscape design that employed subtle and scattered spot lights which illuminated the exterior stone facades of the farmhouse	Le couple souhaitait un aménagement paysager simple et relaxant qui utilisait des spots subtils et dispersés qui illuminaient les façades extérieures en pierre de la ferme.
9	17	 August 27 1883: Krakatoa, in the Sunda Strait between Sumatra and Java, explodes, after a very violent eruption	27 août 1883 : le Krakatoa, dans le détroit de la Sonde entre Sumatra et Java, explose, après une éruption très violente
10	18	 The grouping of disorders, including PDD-NOS, autism, Asperger syndrome, Rett syndrome, and CDD, has been removed and replaced with the general term of Autism Spectrum Disorders	Le regroupement des troubles, notamment les troubles du spectre autistique non spécifiés (TED-NOS), l'autisme, le syndrome d'Asperger, le syndrome de Rett et le trouble déficitaire de l'attention (TDAH), a été supprimé et remplacé par le terme général de troubles du spectre autistique.
11	19	 A possible explanation might be found in another nugget provided by South Korea’s spy agency: China had long protected Kim Jong Nam and his family in their home base of Macau	Une autre explication possible pourrait être trouvée dans une autre pépite fournie par l’agence d’espionnage sud-coréenne : la Chine a longtemps protégé Kim Jong Nam et sa famille dans leur base d’origine de Macao.
13	20	""" So to go back to what you said, I think there's different functions within their systems that they would like to be updated at different speeds"	""" Donc, pour revenir à ce que vous avez dit, je pense qu'il y a différentes fonctions dans leurs systèmes qu'ils aimeraient voir mises à jour à des vitesses différentes."
14	21	 Advertisement Two more years of college later, Mike Shirt is drafted into the Pittsburgh Pirates	Publicité Deux années d'université plus tard, Mike Shirt est recruté par les Pirates de Pittsburgh
15	22	 Swift hugged her crying mother after the six-woman, two-man jury said in U	Swift a serré sa mère en pleurs dans ses bras après que le jury composé de six femmes et de deux hommes ait déclaré à U
16	23	 Welcome to Clix O’Clock, a new weekly feature here on We the Nerdy	Bienvenue à Clix O’Clock, une nouvelle rubrique hebdomadaire ici sur We the Nerdy
17	24	Master Mobile is a family run business set in the heart of Staffordshire, we have been established in this area now for just under 3 years	Master Mobile est une entreprise familiale située au cœur du Staffordshire, nous sommes établis dans cette région depuis un peu moins de 3 ans
18	25	 RaptorJesus over 7 years ago ThunderBird said: That means Flandre can't kill herself, and the Luna Dial can go bonkers on Remilia, and she still won't age/die of old age	RaptorJesus il y a plus de 7 ans ThunderBird a dit : Cela signifie que Flandre ne peut pas se suicider, et que le Luna Dial peut devenir fou sur Remilia, et elle ne vieillira toujours pas/ne mourra pas de vieillesse
19	26	 Easy-to-Hold Design The tablet’s thin bezel makes it easier to hold it with one hand, freeing up the other to tap through apps or high-five strangers	Conception facile à tenir La fine bordure de la tablette permet de la tenir plus facilement d'une seule main, libérant ainsi l'autre pour parcourir les applications ou saluer des inconnus
20	27	 ‘The area of Pakistan’, the chiefs noted, ‘is strategically the most important in the continent of India and the majority of our strategic requirements could be met	« La région du Pakistan », ont noté les chefs, « est stratégiquement la plus importante du continent indien et la majorité de nos besoins stratégiques pourraient être satisfaits
21	28	 Societal and cultural aspects of autism have developed: some in the community seek a cure, while others believe that autism is simply another way of being	Les aspects sociétaux et culturels de l’autisme se sont développés : certains membres de la communauté cherchent un remède, tandis que d’autres pensent que l’autisme n’est qu’une autre façon d’être.
22	29	 It is supervised by a Board of five members, managed by an executive team, has five employees and around 20 volunteers and interns	Elle est supervisée par un Conseil d'Administration de cinq membres, gérée par une équipe exécutive, compte cinq salariés et une vingtaine de bénévoles et stagiaires
24	30	 From a player’s perspective IRPA does not want that debate to be a distraction from making sure the right thing is done by the players now	Du point de vue des joueurs, l’IRPA ne veut pas que ce débat détourne l’attention de la nécessité de s’assurer que les joueurs font ce qu’il faut maintenant.
25	31	 In Closing I’m really excited to introduce to you The ONE Habit Course	En conclusion, je suis vraiment ravi de vous présenter le cours ONE Habit
26	32	 DisableTab : false # ShowPluginNameOnMessages: Show the plugin name on messages sent to the players # and console	DisableTab : false # ShowPluginNameOnMessages : Afficher le nom du plugin sur les messages envoyés aux joueurs # et à la console
27	33	” The changes are part of a broader effort by the Pentagon to decrease its projected spending by $487 billion over the next decade in accordance with a deficit-reduction deal President Obama reached with Congress in August	« Ces changements font partie d’un effort plus large du Pentagone visant à réduire ses dépenses prévues de 487 milliards de dollars au cours de la prochaine décennie, conformément à un accord de réduction du déficit conclu par le président Obama avec le Congrès en août.
28	34	 he held the cow's head and forced it to eat grass	il a tenu la tête de la vache et l'a forcée à manger de l'herbe
29	35	" ""Using her smarts, crafting ammo types out of the environment to whittle down the enemy one at a time, using the environment against them, that’s a way she succeeds against overwhelming odds"	« En utilisant son intelligence, en créant des types de munitions à partir de l'environnement pour éliminer les ennemis un par un, en utilisant l'environnement contre eux, c'est une façon pour elle de réussir contre des probabilités écrasantes
30	36	" ""We may need to start off with a path that may not have a full level of service, and the fee would have to reflect that,"" Galloway said"	« Nous devrons peut-être commencer avec un chemin qui n'offrira peut-être pas un niveau de service complet, et les frais devront en tenir compte », a déclaré M. Galloway.
31	37	 Much of its economics and legal philosophy reflect anti-authoritarian, anti-statist, libertarian, and radical interpretations of left-wing and socialist politics such as collectivism, communism, individualism, mutualism, and syndicalism, among other libertarian socialist economic theories	Une grande partie de sa philosophie économique et juridique reflète des interprétations antiautoritaires, anti-étatiques, libertaires et radicales des politiques de gauche et socialistes telles que le collectivisme, le communisme, l'individualisme, le mutualisme et le syndicalisme, entre autres théories économiques socialistes libertaires.
32	38	 All those nights of changing my clothes in the minivan as I raced home from work to coach her softball team	Toutes ces nuits où je me changeais dans la mini-fourgonnette alors que je rentrais du travail en courant pour entraîner son équipe de softball
33	39	Hot Mess to Mindful Mom is a new book written by Ali Katz	Hot Mess to Mindful Mom est un nouveau livre écrit par Ali Katz
35	40	 My hope is that your parent company's eagerness to embrace the drone won't lead you to sidestep covering drone problems	J'espère que l'empressement de votre société mère à adopter le drone ne vous amènera pas à éviter de couvrir les problèmes liés aux drones.
36	41	5, do I need all these if I have the previous version	5, ai-je besoin de tout cela si j'ai la version précédente
37	42	 How early do you think children can, or should, start learning about philosophy	À quel âge pensez-vous que les enfants peuvent, ou devraient, commencer à apprendre la philosophie ?
38	43	The people in this print are all linked by their support for the Revolution	Les personnages de cette gravure sont tous liés par leur soutien à la Révolution
39	44	 Describing her as having ‘sentiments as pure, as refined, and as delicate, as ever inhabited a human heart’ his principle mistake was to ask for sympathy for her plight and pose her as ‘the fairest source of animation and encouragement to all who would follow’	La décrivant comme ayant « des sentiments aussi purs, aussi raffinés et aussi délicats que ceux qui aient jamais habité un cœur humain », sa principale erreur a été de demander de la sympathie pour son sort et de la présenter comme « la plus belle source d’animation et d’encouragement pour tous ceux qui suivraient ».
40	45	 The more this is the case the more a country will need foreign workers to get anything done	Plus cela se produit, plus un pays aura besoin de travailleurs étrangers pour réaliser ses projets.
41	46	 The Force-connection scenes between him and Rey were among the highlights of the film, and provided some much-needed characterization for both of them, allowing both to speak, debate, even flirt, without any need for a lightsaber battle	Les scènes de connexion avec la Force entre lui et Rey ont été parmi les moments forts du film et ont fourni une caractérisation bien nécessaire pour les deux, leur permettant à tous deux de parler, de débattre, voire de flirter, sans avoir besoin d'une bataille au sabre laser.
42	47	when she leaned over to flick her tongue across the tip , he groaned 	quand elle s'est penchée pour passer sa langue sur le bout, il a gémi
43	48	 There are also exercise classes especially for women who are pregnant	Il existe également des cours d'exercices spécialement destinés aux femmes enceintes
44	49	 Then the bookseller himself , who also was fat and comfortably shabby , and who had beguiled from me the information that I was about to travel , suggested that the `` Poets '' would make very pleasant reading en route 	Alors le libraire lui-même, qui était lui aussi gros et confortablement misérable, et qui m'avait fait croire que j'allais voyager, me suggéra que les « Poètes » feraient une lecture très agréable en route.
